Week of Week Ending Date,Jurisdiction of Occurrence,All Cause
"January 5, 2014",Wyoming,93
"January 12, 2014",Wyoming,85
"January 19, 2014",Wyoming,68
"January 26, 2014",Wyoming,103
"February 2, 2014",Wyoming,73
"February 9, 2014",Wyoming,98
"February 16, 2014",Wyoming,83
"February 23, 2014",Wyoming,82
"March 2, 2014",Wyoming,87
"March 9, 2014",Wyoming,71
"March 16, 2014",Wyoming,88
"March 23, 2014",Wyoming,72
"March 30, 2014",Wyoming,78
"April 6, 2014",Wyoming,71
"April 13, 2014",Wyoming,64
"April 20, 2014",Wyoming,68
"April 27, 2014",Wyoming,84
"May 4, 2014",Wyoming,67
"May 11, 2014",Wyoming,72
"May 18, 2014",Wyoming,100
"May 25, 2014",Wyoming,92
"June 1, 2014",Wyoming,89
"June 8, 2014",Wyoming,94
"June 15, 2014",Wyoming,93
"June 22, 2014",Wyoming,85
"June 29, 2014",Wyoming,80
"July 6, 2014",Wyoming,69
"July 13, 2014",Wyoming,96
"July 20, 2014",Wyoming,79
"July 27, 2014",Wyoming,80
"August 3, 2014",Wyoming,81
"August 10, 2014",Wyoming,93
"August 17, 2014",Wyoming,81
"August 24, 2014",Wyoming,70
"August 31, 2014",Wyoming,92
"September 7, 2014",Wyoming,73
"September 14, 2014",Wyoming,86
"September 21, 2014",Wyoming,96
"September 28, 2014",Wyoming,88
"October 5, 2014",Wyoming,83
"October 12, 2014",Wyoming,90
"October 19, 2014",Wyoming,67
"October 26, 2014",Wyoming,73
"November 2, 2014",Wyoming,94
"November 9, 2014",Wyoming,81
"November 16, 2014",Wyoming,93
"November 23, 2014",Wyoming,86
"November 30, 2014",Wyoming,76
"December 7, 2014",Wyoming,78
"December 14, 2014",Wyoming,85
"December 21, 2014",Wyoming,83
"December 28, 2014",Wyoming,103
"January 4, 2015",Wyoming,112
"January 11, 2015",Wyoming,108
"January 18, 2015",Wyoming,88
"January 25, 2015",Wyoming,80
"February 1, 2015",Wyoming,95
"February 8, 2015",Wyoming,92
"February 15, 2015",Wyoming,73
