year,week,mmwr_week,week_ending_date,state,deaths,population,mortality_rate_per_100k,data_source
2015,1,1,,Alabama,1169.0,4858979,24.1,Archived NCHS
2015,1,1,,Alaska,84.0,738432,11.4,Archived NCHS
2015,1,1,,Arizona,1115.0,6828065,16.3,Archived NCHS
2015,1,1,,Arkansas,753.0,2978204,25.3,Archived NCHS
2015,1,1,,California,5764.0,39144818,14.7,Archived NCHS
2015,1,1,,Colorado,877.0,5456574,16.1,Archived NCHS
2015,1,1,,Connecticut,648.0,3590886,18.0,Archived NCHS
2015,1,1,,Delaware,233.0,945934,24.6,Archived NCHS
2015,1,1,,District of Columbia,122.0,672228,18.1,Archived NCHS
2015,1,1,,Florida,4011.0,20271272,19.8,Archived NCHS
2015,1,1,,Georgia,1764.0,10214860,17.3,Archived NCHS
2015,1,1,,Hawaii,263.0,1431603,18.4,Archived NCHS
2015,1,1,,Idaho,298.0,1654930,18.0,Archived NCHS
2015,1,1,,Illinois,2510.0,12859995,19.5,Archived NCHS
2015,1,1,,Indiana,1559.0,6619680,23.6,Archived NCHS
2015,1,1,,Iowa,738.0,3123899,23.6,Archived NCHS
2015,1,1,,Kansas,622.0,2911641,21.4,Archived NCHS
2015,1,1,,Kentucky,1079.0,4425092,24.4,Archived NCHS
2015,1,1,,Louisiana,982.0,4670724,21.0,Archived NCHS
2015,1,1,,Maine,338.0,1329328,25.4,Archived NCHS
2015,1,1,,Maryland,1129.0,6006401,18.8,Archived NCHS
2015,1,1,,Massachusetts,1278.0,6794422,18.8,Archived NCHS
2015,1,1,,Michigan,2215.0,9922576,22.3,Archived NCHS
2015,1,1,,Minnesota,994.0,5489594,18.1,Archived NCHS
2015,1,1,,Mississippi,655.0,2992333,21.9,Archived NCHS
2015,1,1,,Missouri,1324.0,6083672,21.8,Archived NCHS
2015,1,1,,Montana,234.0,1032949,22.7,Archived NCHS
2015,1,1,,Nebraska,405.0,1896190,21.4,Archived NCHS
2015,1,1,,Nevada,517.0,2890845,17.9,Archived NCHS
2015,1,1,,New Hampshire,279.0,1330608,21.0,Archived NCHS
2015,1,1,,New Jersey,1614.0,8958013,18.0,Archived NCHS
2015,1,1,,New Mexico,374.0,2085109,17.9,Archived NCHS
2015,1,1,,New York,3558.0,19795791,18.0,Archived NCHS
2015,1,1,,North Carolina,2082.0,10042802,20.7,Archived NCHS
2015,1,1,,North Dakota,151.0,756927,19.9,Archived NCHS
2015,1,1,,Ohio,2761.0,11613423,23.8,Archived NCHS
2015,1,1,,Oklahoma,854.0,3911338,21.8,Archived NCHS
2015,1,1,,Oregon,750.0,4028977,18.6,Archived NCHS
2015,1,1,,Pennsylvania,3073.0,12802503,24.0,Archived NCHS
2015,1,1,,Rhode Island,209.0,1056298,19.8,Archived NCHS
2015,1,1,,South Carolina,1074.0,4896146,21.9,Archived NCHS
2015,1,1,,South Dakota,179.0,858469,20.9,Archived NCHS
2015,1,1,,Tennessee,1501.0,6600299,22.7,Archived NCHS
2015,1,1,,Texas,4382.0,27469114,16.0,Archived NCHS
2015,1,1,,Utah,447.0,2995919,14.9,Archived NCHS
2015,1,1,,Vermont,111.0,626042,17.7,Archived NCHS
2015,1,1,,Virginia,1578.0,8382993,18.8,Archived NCHS
2015,1,1,,Washington,1211.0,7170351,16.9,Archived NCHS
2015,1,1,,West Virginia,540.0,1844128,29.3,Archived NCHS
2015,1,1,,Wisconsin,1221.0,5771337,21.2,Archived NCHS
2015,1,1,,Wyoming,121.0,586107,20.6,Archived NCHS
2015,2,2,,Alabama,1172.0,4858979,24.1,Archived NCHS
2015,2,2,,Alaska,80.0,738432,10.8,Archived NCHS
2015,2,2,,Arizona,1163.0,6828065,17.0,Archived NCHS
2015,2,2,,Arkansas,688.0,2978204,23.1,Archived NCHS
2015,2,2,,California,5819.0,39144818,14.9,Archived NCHS
2015,2,2,,Colorado,810.0,5456574,14.8,Archived NCHS
2015,2,2,,Connecticut,652.0,3590886,18.2,Archived NCHS
2015,2,2,,Delaware,206.0,945934,21.8,Archived NCHS
2015,2,2,,District of Columbia,113.0,672228,16.8,Archived NCHS
2015,2,2,,Florida,3999.0,20271272,19.7,Archived NCHS
2015,2,2,,Georgia,1716.0,10214860,16.8,Archived NCHS
2015,2,2,,Hawaii,253.0,1431603,17.7,Archived NCHS
2015,2,2,,Idaho,259.0,1654930,15.7,Archived NCHS
2015,2,2,,Illinois,2402.0,12859995,18.7,Archived NCHS
2015,2,2,,Indiana,1491.0,6619680,22.5,Archived NCHS
2015,2,2,,Iowa,684.0,3123899,21.9,Archived NCHS
2015,2,2,,Kansas,635.0,2911641,21.8,Archived NCHS
2015,2,2,,Kentucky,1055.0,4425092,23.8,Archived NCHS
2015,2,2,,Louisiana,1014.0,4670724,21.7,Archived NCHS
2015,2,2,,Maine,314.0,1329328,23.6,Archived NCHS
2015,2,2,,Maryland,1082.0,6006401,18.0,Archived NCHS
2015,2,2,,Massachusetts,1319.0,6794422,19.4,Archived NCHS
2015,2,2,,Michigan,2155.0,9922576,21.7,Archived NCHS
2015,2,2,,Minnesota,976.0,5489594,17.8,Archived NCHS
2015,2,2,,Mississippi,693.0,2992333,23.2,Archived NCHS
2015,2,2,,Missouri,1301.0,6083672,21.4,Archived NCHS
2015,2,2,,Montana,213.0,1032949,20.6,Archived NCHS
2015,2,2,,Nebraska,367.0,1896190,19.4,Archived NCHS
2015,2,2,,Nevada,494.0,2890845,17.1,Archived NCHS
2015,2,2,,New Hampshire,271.0,1330608,20.4,Archived NCHS
2015,2,2,,New Jersey,1718.0,8958013,19.2,Archived NCHS
2015,2,2,,New Mexico,372.0,2085109,17.8,Archived NCHS
2015,2,2,,New York,3457.0,19795791,17.5,Archived NCHS
2015,2,2,,North Carolina,2087.0,10042802,20.8,Archived NCHS
2015,2,2,,North Dakota,158.0,756927,20.9,Archived NCHS
2015,2,2,,Ohio,2826.0,11613423,24.3,Archived NCHS
2015,2,2,,Oklahoma,860.0,3911338,22.0,Archived NCHS
2015,2,2,,Oregon,739.0,4028977,18.3,Archived NCHS
2015,2,2,,Pennsylvania,3166.0,12802503,24.7,Archived NCHS
2015,2,2,,Rhode Island,233.0,1056298,22.1,Archived NCHS
2015,2,2,,South Carolina,1075.0,4896146,22.0,Archived NCHS
2015,2,2,,South Dakota,172.0,858469,20.0,Archived NCHS
2015,2,2,,Tennessee,1480.0,6600299,22.4,Archived NCHS
2015,2,2,,Texas,4371.0,27469114,15.9,Archived NCHS
2015,2,2,,Utah,357.0,2995919,11.9,Archived NCHS
2015,2,2,,Vermont,118.0,626042,18.8,Archived NCHS
2015,2,2,,Virginia,1586.0,8382993,18.9,Archived NCHS
2015,2,2,,Washington,1177.0,7170351,16.4,Archived NCHS
2015,2,2,,West Virginia,513.0,1844128,27.8,Archived NCHS
2015,2,2,,Wisconsin,1177.0,5771337,20.4,Archived NCHS
2015,2,2,,Wyoming,115.0,586107,19.6,Archived NCHS
2015,3,3,,Alabama,1072.0,4858979,22.1,Archived NCHS
2015,3,3,,Alaska,88.0,738432,11.9,Archived NCHS
2015,3,3,,Arizona,1056.0,6828065,15.5,Archived NCHS
2015,3,3,,Arkansas,695.0,2978204,23.3,Archived NCHS
2015,3,3,,California,5558.0,39144818,14.2,Archived NCHS
2015,3,3,,Colorado,747.0,5456574,13.7,Archived NCHS
2015,3,3,,Connecticut,693.0,3590886,19.3,Archived NCHS
2015,3,3,,Delaware,176.0,945934,18.6,Archived NCHS
2015,3,3,,District of Columbia,105.0,672228,15.6,Archived NCHS
2015,3,3,,Florida,3971.0,20271272,19.6,Archived NCHS
2015,3,3,,Georgia,1626.0,10214860,15.9,Archived NCHS
2015,3,3,,Hawaii,231.0,1431603,16.1,Archived NCHS
2015,3,3,,Idaho,256.0,1654930,15.5,Archived NCHS
2015,3,3,,Illinois,2337.0,12859995,18.2,Archived NCHS
2015,3,3,,Indiana,1414.0,6619680,21.4,Archived NCHS
2015,3,3,,Iowa,664.0,3123899,21.3,Archived NCHS
2015,3,3,,Kansas,576.0,2911641,19.8,Archived NCHS
2015,3,3,,Kentucky,1066.0,4425092,24.1,Archived NCHS
2015,3,3,,Louisiana,926.0,4670724,19.8,Archived NCHS
2015,3,3,,Maine,295.0,1329328,22.2,Archived NCHS
2015,3,3,,Maryland,1076.0,6006401,17.9,Archived NCHS
2015,3,3,,Massachusetts,1334.0,6794422,19.6,Archived NCHS
2015,3,3,,Michigan,2070.0,9922576,20.9,Archived NCHS
2015,3,3,,Minnesota,893.0,5489594,16.3,Archived NCHS
2015,3,3,,Mississippi,602.0,2992333,20.1,Archived NCHS
2015,3,3,,Missouri,1300.0,6083672,21.4,Archived NCHS
2015,3,3,,Montana,190.0,1032949,18.4,Archived NCHS
2015,3,3,,Nebraska,360.0,1896190,19.0,Archived NCHS
2015,3,3,,Nevada,462.0,2890845,16.0,Archived NCHS
2015,3,3,,New Hampshire,273.0,1330608,20.5,Archived NCHS
2015,3,3,,New Jersey,1700.0,8958013,19.0,Archived NCHS
2015,3,3,,New Mexico,423.0,2085109,20.3,Archived NCHS
2015,3,3,,New York,3420.0,19795791,17.3,Archived NCHS
2015,3,3,,North Carolina,1811.0,10042802,18.0,Archived NCHS
2015,3,3,,North Dakota,149.0,756927,19.7,Archived NCHS
2015,3,3,,Ohio,2599.0,11613423,22.4,Archived NCHS
2015,3,3,,Oklahoma,902.0,3911338,23.1,Archived NCHS
2015,3,3,,Oregon,745.0,4028977,18.5,Archived NCHS
2015,3,3,,Pennsylvania,3080.0,12802503,24.1,Archived NCHS
2015,3,3,,Rhode Island,217.0,1056298,20.5,Archived NCHS
2015,3,3,,South Carolina,990.0,4896146,20.2,Archived NCHS
2015,3,3,,South Dakota,140.0,858469,16.3,Archived NCHS
2015,3,3,,Tennessee,1468.0,6600299,22.2,Archived NCHS
2015,3,3,,Texas,4213.0,27469114,15.3,Archived NCHS
2015,3,3,,Utah,295.0,2995919,9.8,Archived NCHS
2015,3,3,,Vermont,122.0,626042,19.5,Archived NCHS
2015,3,3,,Virginia,1437.0,8382993,17.1,Archived NCHS
2015,3,3,,Washington,1149.0,7170351,16.0,Archived NCHS
2015,3,3,,West Virginia,492.0,1844128,26.7,Archived NCHS
2015,3,3,,Wisconsin,1085.0,5771337,18.8,Archived NCHS
2015,3,3,,Wyoming,94.0,586107,16.0,Archived NCHS
2015,4,4,,Alabama,1087.0,4858979,22.4,Archived NCHS
2015,4,4,,Alaska,86.0,738432,11.6,Archived NCHS
2015,4,4,,Arizona,1252.0,6828065,18.3,Archived NCHS
2015,4,4,,Arkansas,684.0,2978204,23.0,Archived NCHS
2015,4,4,,California,5660.0,39144818,14.5,Archived NCHS
2015,4,4,,Colorado,774.0,5456574,14.2,Archived NCHS
2015,4,4,,Connecticut,673.0,3590886,18.7,Archived NCHS
2015,4,4,,Delaware,198.0,945934,20.9,Archived NCHS
2015,4,4,,District of Columbia,120.0,672228,17.9,Archived NCHS
2015,4,4,,Florida,3904.0,20271272,19.3,Archived NCHS
2015,4,4,,Georgia,1653.0,10214860,16.2,Archived NCHS
2015,4,4,,Hawaii,226.0,1431603,15.8,Archived NCHS
2015,4,4,,Idaho,291.0,1654930,17.6,Archived NCHS
2015,4,4,,Illinois,2048.0,12859995,15.9,Archived NCHS
2015,4,4,,Indiana,1234.0,6619680,18.6,Archived NCHS
2015,4,4,,Iowa,604.0,3123899,19.3,Archived NCHS
2015,4,4,,Kansas,553.0,2911641,19.0,Archived NCHS
2015,4,4,,Kentucky,943.0,4425092,21.3,Archived NCHS
2015,4,4,,Louisiana,920.0,4670724,19.7,Archived NCHS
2015,4,4,,Maine,323.0,1329328,24.3,Archived NCHS
2015,4,4,,Maryland,1036.0,6006401,17.2,Archived NCHS
2015,4,4,,Massachusetts,1391.0,6794422,20.5,Archived NCHS
2015,4,4,,Michigan,1909.0,9922576,19.2,Archived NCHS
2015,4,4,,Minnesota,839.0,5489594,15.3,Archived NCHS
2015,4,4,,Mississippi,650.0,2992333,21.7,Archived NCHS
