year,week,mmwr_week,week_ending_date,state,deaths,population,mortality_rate_per_100k,data_source
2015,2,2,,United States,61882.0,321418820,19.3,World Mortality Dataset
2015,3,3,,United States,61261.0,321418820,19.1,World Mortality Dataset
2015,4,4,,United States,58738.0,321418820,18.3,World Mortality Dataset
2015,5,5,,United States,57380.0,321418820,17.9,World Mortality Dataset
2015,6,6,,United States,57393.0,321418820,17.9,World Mortality Dataset
2015,7,7,,United States,56535.0,321418820,17.6,World Mortality Dataset
2015,8,8,,United States,56462.0,321418820,17.6,World Mortality Dataset
2015,9,9,,United States,56028.0,321418820,17.4,World Mortality Dataset
2015,10,10,,United States,56221.0,321418820,17.5,World Mortality Dataset
2015,11,11,,United States,55374.0,321418820,17.2,World Mortality Dataset
2015,12,12,,United States,54387.0,321418820,16.9,World Mortality Dataset
2015,13,13,,United States,53336.0,321418820,16.6,World Mortality Dataset
2015,14,14,,United States,53121.0,321418820,16.5,World Mortality Dataset
2015,15,15,,United States,52785.0,321418820,16.4,World Mortality Dataset
2015,16,16,,United States,52942.0,321418820,16.5,World Mortality Dataset
2015,17,17,,United States,51702.0,321418820,16.1,World Mortality Dataset
2015,18,18,,United States,51590.0,321418820,16.1,World Mortality Dataset
2015,19,19,,United States,51758.0,321418820,16.1,World Mortality Dataset
2015,20,20,,United States,50771.0,321418820,15.8,World Mortality Dataset
2015,21,21,,United States,49428.0,321418820,15.4,World Mortality Dataset
2015,22,22,,United States,49816.0,321418820,15.5,World Mortality Dataset
2015,23,23,,United States,49132.0,321418820,15.3,World Mortality Dataset
2015,24,24,,United States,49845.0,321418820,15.5,World Mortality Dataset
2015,25,25,,United States,49222.0,321418820,15.3,World Mortality Dataset
2015,26,26,,United States,49169.0,321418820,15.3,World Mortality Dataset
2015,27,27,,United States,49334.0,321418820,15.3,World Mortality Dataset
2015,28,28,,United States,49019.0,321418820,15.3,World Mortality Dataset
2015,29,29,,United States,49344.0,321418820,15.4,World Mortality Dataset
2015,30,30,,United States,48655.0,321418820,15.1,World Mortality Dataset
2015,31,31,,United States,48673.0,321418820,15.1,World Mortality Dataset
2015,32,32,,United States,48279.0,321418820,15.0,World Mortality Dataset
2015,33,33,,United States,48086.0,321418820,15.0,World Mortality Dataset
2015,34,34,,United States,48546.0,321418820,15.1,World Mortality Dataset
2015,35,35,,United States,48615.0,321418820,15.1,World Mortality Dataset
2015,36,36,,United States,48817.0,321418820,15.2,World Mortality Dataset
2015,37,37,,United States,48885.0,321418820,15.2,World Mortality Dataset
2015,38,38,,United States,48935.0,321418820,15.2,World Mortality Dataset
2015,39,39,,United States,49329.0,321418820,15.3,World Mortality Dataset
2015,40,40,,United States,48916.0,321418820,15.2,World Mortality Dataset
2015,41,41,,United States,51048.0,321418820,15.9,World Mortality Dataset
2015,42,42,,United States,49936.0,321418820,15.5,World Mortality Dataset
2015,43,43,,United States,50761.0,321418820,15.8,World Mortality Dataset
2015,44,44,,United States,50471.0,321418820,15.7,World Mortality Dataset
2015,45,45,,United States,51282.0,321418820,16.0,World Mortality Dataset
2015,46,46,,United States,50744.0,321418820,15.8,World Mortality Dataset
2015,47,47,,United States,51489.0,321418820,16.0,World Mortality Dataset
2015,48,48,,United States,51292.0,321418820,16.0,World Mortality Dataset
2015,49,49,,United States,52088.0,321418820,16.2,World Mortality Dataset
2015,50,50,,United States,53661.0,321418820,16.7,World Mortality Dataset
2015,51,51,,United States,51948.0,321418820,16.2,World Mortality Dataset
2015,52,52,,United States,52866.0,321418820,16.4,World Mortality Dataset
2015,53,53,,United States,52633.0,321418820,16.4,World Mortality Dataset
2016,1,1,,United States,55937.0,323127513,17.3,World Mortality Dataset
2016,2,2,,United States,55654.0,323127513,17.2,World Mortality Dataset
2016,3,3,,United States,55280.0,323127513,17.1,World Mortality Dataset
2016,4,4,,United States,55709.0,323127513,17.2,World Mortality Dataset
2016,5,5,,United States,54995.0,323127513,17.0,World Mortality Dataset
2016,6,6,,United States,55222.0,323127513,17.1,World Mortality Dataset
2016,7,7,,United States,55912.0,323127513,17.3,World Mortality Dataset
2016,8,8,,United States,54975.0,323127513,17.0,World Mortality Dataset
2016,9,9,,United States,55982.0,323127513,17.3,World Mortality Dataset
2016,10,10,,United States,56225.0,323127513,17.4,World Mortality Dataset
2016,11,11,,United States,54566.0,323127513,16.9,World Mortality Dataset
2016,12,12,,United States,54772.0,323127513,17.0,World Mortality Dataset
2016,13,13,,United States,53980.0,323127513,16.7,World Mortality Dataset
2016,14,14,,United States,54170.0,323127513,16.8,World Mortality Dataset
2016,15,15,,United States,53603.0,323127513,16.6,World Mortality Dataset
2016,16,16,,United States,53254.0,323127513,16.5,World Mortality Dataset
2016,17,17,,United States,51162.0,323127513,15.8,World Mortality Dataset
2016,18,18,,United States,51373.0,323127513,15.9,World Mortality Dataset
2016,19,19,,United States,51108.0,323127513,15.8,World Mortality Dataset
